270.0	3.02E-01
272.0	3.02E-01
274.0	3.02E-01
276.0	3.03E-01
278.0	3.03E-01
280.0	3.04E-01
282.0	3.04E-01
284.0	3.04E-01
286.0	3.05E-01
288.0	3.05E-01
290.0	3.05E-01
292.0	3.06E-01
294.0	3.06E-01
296.0	3.06E-01
298.0	3.07E-01
300.0	3.07E-01
305.0	3.08E-01
310.0	3.08E-01
315.0	3.09E-01
320.0	3.09E-01
325.0	3.10E-01
330.0	3.10E-01
335.0	3.11E-01
340.0	3.11E-01
345.0	3.11E-01
350.0	3.07E-01
360.0	2.97E-01
370.0	2.87E-01
380.0	2.80E-01
390.0	2.74E-01
400.0	2.69E-01
420.0	2.63E-01
440.0	2.60E-01
450.0	2.59E-01
460.0	2.59E-01
480.0	2.60E-01
500.0	2.61E-01
520.0	2.63E-01
540.0	2.65E-01
550.0	2.66E-01
560.0	2.67E-01
580.0	2.70E-01
600.0	2.72E-01
620.0	2.75E-01
640.0	2.77E-01
650.0	2.79E-01
660.0	2.80E-01
680.0	2.82E-01
700.0	2.85E-01
720.0	2.87E-01
740.0	2.89E-01
750.0	2.90E-01
760.0	2.91E-01
780.0	2.94E-01
800.0	2.96E-01
820.0	2.97E-01
840.0	2.99E-01
850.0	3.00E-01
860.0	3.01E-01
880.0	3.03E-01
900.0	3.04E-01
920.0	3.06E-01
940.0	3.07E-01
950.0	3.08E-01
960.0	3.09E-01
980.0	3.10E-01
1000.0	3.11E-01
